Messier;NGC;Object type / Type d'objet;Season / Saison;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA (Right Ascension);Dec (Declinaison);Distance (l.y / a. l.);Size / Dimensions;Discoverer / Découvreur;Year / Année;Image;URL de l'image;Constellation
M91;NGC 4548;Galaxy / Galaxie;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:35:26.45;+14:29:46.8;37000000;5,4' x 4,4';Messier;1781;http://www.lasam.ca/messier/M091.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/284c5bc7c93f0088d9a250d0e946c902;Com
M75;NGC 6864;Globular Cluster / Amas Globulaire;Summer / Été;8;Archer;Sagittaire;Sagittarius;20:06:04.84;-21:55:20.0;78500;4,6';Méchain;1780;http://www.lasam.ca/messier/M075.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/00f582867eec79eab3bc4d51021d8178;Sgr
M95;NGC 3351;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:43:57.70;+11:42:13.7;20300000;7,4' x 5,1';Méchain;1781;http://www.lasam.ca/messier/M095.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d78c022080defa2df511b4a74951c911;Leo
M41;NGC 2287;Open Cluster / Amas Ouvert;Winter / Hiver;4;Great Dog;Grand Chien;Canis Major;06:45:59.94;-20:45:15.2;1600;30,0';Hodierna;1654;http://www.lasam.ca/messier/M041.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/29f4c224d82abed7818f5b0d8d2c88f2;CMa
M46;NGC 2437;Open Cluster / Amas Ouvert;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:41:46.82;-14:48:36.0;3200;24,0';Messier;1771;http://www.lasam.ca/messier/M046.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b01e8f5ad9db9482252f14ccd3313cd9;Pup
M59;NGC 4621;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:42:02.24;+11:38:49.3;41000000;5,1' x 3,4';Koehler;1779;http://www.lasam.ca/messier/M059.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b24a84de6da3360d826cf5c3ab0261d1;Vir
M49;NGC 4472;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:29:46.76;+08:00:01.7;41000000;8,9' x 7,4';Messier;1771;http://www.lasam.ca/messier/M049.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/25046a4043828d3b133a4a98e981ae82;Vir
M99;NGC 4254;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:18:49.60;+14:24:59.4;41000000;5,4' x 4,8';Méchain;1781;http://www.lasam.ca/messier/M099.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/76a67bc41ee3e41b25567e06b20bab39;Com
M8;NGC 6523;Emission Nebula / Nébuleuse à émission;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:03:41.27;-24:22:48.6;4850;90,0' x 40,0';Flamsteed;1680;http://www.lasam.ca/messier/M008.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0a09915c6203f288d82ddb1236a986a1;Sgr
M11;NGC 6705;Open Cluster / Amas Ouvert;Summer / Été;5;Shield;L’Écu de Sobieski;Scutum;18:51:05.99;-06:16:12.1;5600;14,0';Kirch;1681;http://www.lasam.ca/messier/M011.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4bc62585d114ad1c0fc3075fcf93c6e5;Sct
