Messier,NGC,Object_Type,Magnitude,Constellation,Distance,Dimensions,Discoverer,Year,Name
M1,NGC 1952,Supernova remnant,8,Taurus,6500,6.0' x 4.0',Bévis,1731,Crab Nebula
M2,NGC 7089,Globular Cluster,6,Aquarius,55000,11.7',Maraldi,1746,
M3,NGC 5272,Globular Cluster,6,Canes Venatici,48500,18.6',Messier,1764,
M4,NGC 6121,Globular Cluster,5,Scorpius,9900,22.8',Chéseaux,1746,
M5,NGC 5904,Globular Cluster,5,Serpens,24800,19.9',Kirch,1702,
M6,NGC 6504,Open Cluster,4,Scorpius,1300,15.0',Hodierna,1654,Butterfly Cluster
M7,NGC 6475,Open Cluster,3,Scorpius,780,30.0',Ptolémée,No Establecido,Ptolemy Cluster
M8,NGC 6523,Emission Nebula,5,Sagittarius,4850,90.0' x 40.0',Flamsteed,1680,Lagoon Nebula
M9,NGC 6333,Globular Cluster,7,Ophiuchus,25800,5.5',Messier,1764,
M10,NGC 6254,Globular Cluster,6,Ophiuchus,16300,12.2',Messier,1764,
M11,NGC 6705,Open Cluster,5,Scutum,5600,14.0',Kirch,1681,Wild Duck Cluster
M12,NGC 6218,Globular Cluster,6,Ophiuchus,18900,12.2',Messier,1764,
M13,NGC 6205,Globular Cluster,5,Hercules,23500,23.2',Halley,1714,Hercules Globular Cluster
M14,NGC 6402,Globular Cluster,7,Ophiuchus,24000,6.7',Messier,1764,
M15,NGC 7078,Globular Cluster,6,Pegasus,49500,12.3',Maraldi,1746,
M16,NGC 6611,Emission Nebula,6,Serpens,5870,25.0',Chéseaux,1746,Eagle Nebula Cluster
M17,NGC 6618,Emission Nebula,6,Sagittarius,5870,45.0' x 35.0',Chéseaux,1746,Horseshoe Nebula
M18,NGC 6613,Open Cluster,6,Sagittarius,4900,9.0',Messier,1764,
M19,NGC 6273,Globular Cluster,7,Ophiuchus,22500,5.3',Messier,1764,
M20,NGC 6514,Emission Nebula,6,Sagittarius,2300,29.0' x 27.0',Le Gentil,1749,Trifid Nebula
M21,NGC 6531,Open Cluster,5,Sagittarius,4200,13.0',Messier,1764,
M22,NGC 6656,Globular Cluster,5,Sagittarius,7800,17.0',Ihle,1665,
M23,NGC 6494,Open Cluster,5,Sagittarius,2150,25.0',Messier,1764,
M24,NGC 6603,Open Cluster,11,Sagittarius,16000,45.0',Messier,1764,Milky Way Patch
